File Name,Sort Key,Language,Age,Overall Score,Question Number,Exam Score,Answer Text,Idea Density
doc100.xml,TR2*0102*2000*01,Korean,26-30,29.0,1,3.3,"10 June 2000
          Dear Manager,
          I would like to complain about your theatre and the musical show that I saw last week.
          I went to London for a holiday last week and read the advertisement about 'Over the rainbow' in the hotel which I stayed in.
          I saw Danny Brook and Tina Truelove were written on the advertisement paper and was very excited. However, Danny Brook did not appear on the stage until the end of musical showing time. I was really disappointed about it. Secondly, the starting time was 19:30 but it started 20:15 so I was waitedwaiting for 45 minutes. It was sosuch a long time to wait in the theatre.
          Thirdly, it mentioned about discounts. Despite of the fact that I am a student, I could not get any discounts. I also visited your restaurant after the show but it was already closed because the show finished late.
          Because ofFor the reasonreasons above, I, indeed, spent an awful last night in London.
          I would like you to refund, otherwise, I will take an action.
          I look forward to receiving a reply to my enquiry.
          Sincerely",5.9
doc100.xml,TR2*0102*2000*01,Korean,26-30,29.0,3,3.3,"Fashion of the future
          People will wear this kind of clothes 100 years later from now.
          If the weather is hot then we don't have to wear under wearunderwear because very thin and light clothes will support our bodies. There will be two functions for summer clothes that we don't need to wear clothes like layer and layer. For example, T-shirts for women are includedwill include a bra: easy to take it out when you wash it, and it is very simple and comfortable. What about short pants? You don't have to wear knickers. We can just put some thin pads in there. We can't feel it and easy to remove and just can wash it. Simplest is the best in summer!
          When it's very cold in winter, we just wear light clothes what we want, in our style. Because special warm and healthy material will be developed and useused them inside thin clothes so we don't need to put heavy clothes on our bodies. We can show our body linefigure in winter as well.
          Most important thing is that we don't have to kill the animals onlyjust for people's cruel aims.
          Functions' clothes are the way to love animals!",7.4
doc1000.xml,TR3*0100*2000*02,Catalan,16-20,28.00,1,2.3,"DECEMBER 12TH
          PRINCIPAL MR. ROBERTSON
          DEAR SIR,
          I WANT TO THAKTHANK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US TOON THE RIVER TRIP TO GREENWICH. I WOULD LIKE TO KNOW IF THERE IS ANY CHANCE OF CHANGING THE PROGRAMME BECAUSE WE HAVE FOUND A VERY INTERESTING ACTIVITY TO DO ON TUESDAY 14 MARCH. IT CONSISTS ONININVOLVES VISITING THE LONDON FASHION AND LEISURE SHOW INAT THE CENTRAL EXHIBITION HALL. I THINK IT'S A GREAT OPPORTUNITY TO MAKE GREATER USE OF OUR KNOWLEDGE OF THE ENGLISH LANGUAGE. ON THE OTHER HANDALSO, WE COULD LEARN THE DIFFERENT WAYS TO GET TO THE CENTRAL EXHIBITION HALL.
          I SUGGEST THAT WE SHOULD GO TO THE NATIONAL ART GALLERY IN THE MORNING AND INSTEAD OF HAVING THE AFTERNOON FREE WE COULD GO TO THE FASHION AND LEISURE SHOW.
          I WILL BE WRITINGWAITING ANXIOUSLY FOR YOUR RESPONSE.
          YOURS FAITHFULLY",6.42
doc1000.xml,TR3*0100*2000*02,Catalan,16-20,28.00,2,5.1,"(FAMOUS PEOPLE, SUCH AS POLITICIANS AND FILM STARS, DESERVE TO HAVE A PRIVATE LIFE WITHOUT JOURNALISTS FOLLOWING THEM ALL THE TIME)
          FAMOUS PEOPLE SUCH AS SINGERS, FILM STARS, ETC, ARE ALWAYS THE CENTRE OF ATTENTION. AS SOME OF THEM ARE CONSIDERED IDOLS, THEIR FANS WANT TO KNOW HOW THEY ACTBEHAVE IN THEIR PRIVATE LIVES, WITH THEIR FAMILY OR FRIENDS. AS A RESPONSE TO THIS DEMAND OFFOR INFORMATION, JOURNALISTS FOLLOW FAMOUS PEOPLE DAY AND NIGHT IN MANY DIFFERENT WAYS, FOR EXAMPLE, CHASING THEIR CARS, TAKING PHOTOGRAPHS OR BREAKING INTO THEIR HOUSES WHILE THEY ARE ON HOLIDAYSHOLIDAY.
          THIS SITUATION AFFECTS FAMOUS PERSONAL LIVESPEOPLE BECAUSE THEY ARE NOT ALLOWED TO HAVE ANY PRIVACY.
          THE MOST IMPORTANT THING IS THAT, ALTHOUGH THEY ARE FAMOUS, THEY ARE JUST NORMAL PEOPLE THAT DESERVE TO HAVE A PRIVATE LIFE WITHOUT JOURNALISTS AND FANS FOLLOWING THEM ALL THE TIME, AND ON THE OTHER HAND PEOPLE HAVE TO LEARN TO RESPECT THE FAMOUS THE RIGHTTHE RIGHT OF THE FAMOUS TO KEEP THEIR PERSONAL LIVES IN SECRET.
          IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT, IN SOME CASSCASES, COSTS MORE THAN THEY DESERVE TO PAY.",3.89
doc1002.xml,TR4*0100*2000*02,Korean,<16,32.00,1,4.2,"To Mr. Robertson
          I am writing to tell you something about the three-day trip to London.
          I have seen your programme for the trip and I think it is going to be a great trip. Thank you very much for organising this trip and putting all your spare time and effort into it. Personally, I enjoy looking at and learning about new inventions and all the science. That is why I think the trip to the science museum is a good idea. However, my class and I have seen an advertisement aboutfor a fashion and leisure show. We are attracted to this show and would like to go. Unfortunately, it is on 14th March, which is the day we will be visiting the science museum.
          This show is on the 14th March. It is in the Central Exhibition Hall and will start andat ten o'clock and finish at five o'clock in the evening. Apparently, this show is free to all students, which means if we went, the cost of the trip willwould be cut downreduced.
          I think it is a great opportunity because it is based on fashion. We like to keep up with the ragetrends but I think it will help those who want to become a fashion designerdesigners later on.
          I have a suggestion on how the programme could be changed. The shopping time could be after the show and the free time exchanged for the science museum. If we go to the show, we can do without the free time.
          Please give this your careful consideration..
          Yours sincerely,",5.75
doc1002.xml,TR4*0100*2000*02,Korean,<16,32.00,3,4.2,"In a country like the UK, we are all bound to have houses. We either own it, or we simply borrow it from other people. We take our homes for granted. Think about the people in the poor countries! They struggle to survive. However, as we approach the future, our homes will start to change.
          Have you ever thought about how the changes will affect our lives? I doubt it.
          There will be lots of differences in our homes of the future from our homes now, but there may also be a lot of similarities. For one, the future homeshome might not be built out of bricks at all! It may be built out of a stronger substance or a more attractive one, such as glass. Non-breakable glass. Also, due to global warming, sea levels might rise and the risk of flooding will also rise. Therefore, houses will be built on high supports. All domestic appliances such as showers, kettles, lights, TV and curtains may be voice activated. Incredibly high security will prevent robbery.
          The future homes will also have many similarities, such as having a separate bathroom, and not having one in a bedroom, or having two floors or having garages.
          It has been a pleasure sharing my thoughts with you. What do you think will happen in the future?",10.72
doc1003.xml,TR5*0102*2000*02,Russian,16-20,29.00,1,S,"Dear Mrs. Jane Clark,
          Recently I was at the annual international arts festival, that you organized. I'm writing this letter to thank you for giving  athe possibilityopportunity to know more about modern art.
          I think, it is a wonderful idea to organize such festivals each year, because it is very interesting to learn some news about life in other countries.
          Unfortunately, only six countries were represented this year at the festival, but I hope that soon there would bewill be muchmany more of them.
          I extremelyreally liked all the concerts, shows, and exhibitions, but why there weren'tweren't there any photographphotographic exhibitions? I think, you should makehave some next year. ThenAlso, I want to markpoint out, that the concert halls were too small, that is why they were overcrowded during some concerts.
          ThenAlso, I want to say, that the plays and films were exellentexcellent, but itthere wasn'tweren't enough of them for me. May beMaybe you should makehave more next year?.
          And at the endfinally, my opinion is that one weekend ticket for all events is a great idea, because you don't have to staywait in queues to buy a ticket for a show, you want to go to.
          Yours sincerely,",6.33
doc1003.xml,TR5*0102*2000*02,Russian,16-20,29.00,4,4.1,"Dear Lucia,
          I was very pleased to receive your letter. You asked, if there are some school rules in my country.
          As you know, I'm studying at thea private Academy, so the rules in my institute are different from the rules in state institutes. I'll give you an example. In our AcadamyAcademy we are not allowed to smoke. The fine for smoking on the AcademyAcademy's is territorypremises is 100 dollars. So nobody smokes there. I don't smoke, so I don't care about this rule. But some of my friends really would like to change it. You also wanted to know about what I'm allowed or not allowed to do at home. Well, I have rather modern parents, so they don't prohibitstop me to gogoing to the discoesdiscos or somewhere with my friends. The only rule for me at home is to walk out with my dog three times a day.
          I hope it was interesting for you to know about the rules in my life.
          LookI look forward to hearing from you,",9.07
doc1005.xml,TR6*0102*2000*01,Polish,16-20,30.0,1,4.1,"Dear Sir/Madam,
          I waswent to the Circle Theatre to watch the 'Over the rainbow' musical show, recently. I was trullytruly dissapointeddisappointed by it. My expectations were high after I'veI'd read your leaflet in which it was advertised as 'London's newest and best musical show'. Now, I can assure you it wasn't. Firstly, it was Danny Brook who was supposed to star. The substitute was far worse. Secondly, I had to wait fourty-fiveforty-five minutes before the show finally began. Another unkept promise areiswas the discounts. There weren't any! Lastly, when I got hungry after the delay it appeared that the theatre restaurant iswas closed. You can believe me it wasn't 'my perfect evening out' and I have no other choice than askingto ask you to give me my money back. I paid for something I didn't get so it is obvious that I want my money back. I got the £15 ticket. I'd like you to send the money to this adressaddress;: ul Taklowa 10
          Skoclow 43-430
          POLAND
          Yours sincerelyfaithfully,",10.83
doc1005.xml,TR6*0102*2000*01,Polish,16-20,30.0,2,4.1,"Unfortunately, Pat wasn't very good at keeping secrets. After two days, the whole school knew. When Paul entered the school gate, other children began to tease him and laugh. Paul couldn't stand it. He ran out quickly, leaving everyone behind. He felt very ashamed and didn't know what to do. Normally, he would go and talk to Pat but Pat betrayed him. They were no longer friends. 'How could he,' Paul thought 'Now the whole school knows Jean attracts me'. As he was sitting there, he heard someone walking towards him. He turned around and saw... Jean. 'What are you dongdoing here, why? Why aren't you at school?' she asked. Paul was like paralyzed. He couldn't reply. 'I had heardheard what you've said about me', she said, I think it's sweet'. Paul couldn't believe his ears. While he was thinking how to reply, Jean took his hand and led him to the school. When they entered everyone became silent. All the children were staring at them and Paul thought that Pat isn'twasn't that bad at all.",22.44
